Vocab size: 8,192
Target hardware preset: NVIDIA A100-SXM4-80GB x1
MFU baseline FLOPs: 3.120e+14 (device-name:A100)
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 22,020,608
  scalars                 : 14
  total                   : 47,186,446
Estimated FLOPs per token: 1.793096e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.011397 | lrm: 0.00 | dt: 14658ms | tok/sec: 8,941 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00922 (51.1%) | loss: 3.120757 | lrm: 0.57 | dt: 168ms | tok/sec: 780,516 | mfu: 44.9% | epoch: 1 | remaining: 147s    
step 00923 (51.1%) | loss: 3.118994 | lrm: 0.57 | dt: 166ms | tok/sec: 788,461 | mfu: 45.3% | epoch: 1 | remaining: 147s    
step 00924 (51.2%) | loss: 3.121437 | lrm: 0.57 | dt: 167ms | tok/sec: 784,377 | mfu: 45.1% | epoch: 1 | remaining: 146s    
step 00925 (51.2%) | loss: 3.121265 | lrm: 0.56 | dt: 168ms | tok/sec: 781,519 | mfu: 44.9% | epoch: 1 | remaining: 146s    
step 00926 (51.3%) | loss: 3.127312 | lrm: 0.56 | dt: 167ms | tok/sec: 786,175 | mfu: 45.2% | epoch: 1 | remaining: 146s    
step 00927 (51.3%) | loss: 3.122424 | lrm: 0.56 | dt: 176ms | tok/sec: 745,768 | mfu: 42.9% | epoch: 1 | remaining: 146s    
step 00928 (51.4%) | loss: 3.111957 | lrm: 0.56 | dt: 167ms | tok/sec: 786,360 | mfu: 45.2% | epoch: 1 | remaining: 146s    
step 00929 (51.4%) | loss: 3.111326 | lrm: 0.56 | dt: 167ms | tok/sec: 784,233 | mfu: 45.1% | epoch: 1 | remaining: 145s    
step 00930 (51.5%) | loss: 3.105846 | lrm: 0.56 | dt: 167ms | tok/sec: 786,241 | mfu: 45.2% | epoch: 1 | remaining: 145s    
step 00931 (51.6%) | loss: 3.107564 | lrm: 0.56 | dt: 168ms | tok/sec: 780,288 | mfu: 44.8% | epoch: 1 | remaining: 145s    
step 00932 (51.6%) | loss: 3.103731 | lrm: 0.56 | dt: 167ms | tok/sec: 784,459 | mfu: 45.1% | epoch: 1 | remaining: 145s    
step 00933 (51.7%) | loss: 3.105788 | lrm: 0.56 | dt: 167ms | tok/sec: 786,104 | mfu: 45.2% | epoch: 1 | remaining: 145s    
step 00934 (51.7%) | loss: 3.097896 | lrm: 0.56 | dt: 167ms | tok/sec: 786,065 | mfu: 45.2% | epoch: 1 | remaining: 145s    
step 00935 (51.8%) | loss: 3.101179 | lrm: 0.56 | dt: 169ms | tok/sec: 775,552 | mfu: 44.6% | epoch: 1 | remaining: 144s    
step 00936 (51.8%) | loss: 3.102258 | lrm: 0.56 | dt: 167ms | tok/sec: 783,757 | mfu: 45.0% | epoch: 1 | remaining: 144s    
step 00937 (51.9%) | loss: 3.111692 | lrm: 0.56 | dt: 167ms | tok/sec: 783,218 | mfu: 45.0% | epoch: 1 | remaining: 144s    
step 00938 (51.9%) | loss: 3.116061 | lrm: 0.56 | dt: 168ms | tok/sec: 779,676 | mfu: 44.8% | epoch: 1 | remaining: 144s    
step 00939 (52.0%) | loss: 3.108130 | lrm: 0.56 | dt: 168ms | tok/sec: 781,318 | mfu: 44.9% | epoch: 1 | remaining: 144s    
step 00940 (52.1%) | loss: 3.103779 | lrm: 0.56 | dt: 166ms | tok/sec: 788,785 | mfu: 45.3% | epoch: 1 | remaining: 144s    
step 00941 (52.1%) | loss: 3.107882 | lrm: 0.56 | dt: 167ms | tok/sec: 783,432 | mfu: 45.0% | epoch: 1 | remaining: 143s    
step 00942 (52.2%) | loss: 3.113832 | lrm: 0.55 | dt: 169ms | tok/sec: 777,709 | mfu: 44.7% | epoch: 1 | remaining: 143s    
step 00943 (52.2%) | loss: 3.103062 | lrm: 0.55 | dt: 167ms | tok/sec: 782,956 | mfu: 45.0% | epoch: 1 | remaining: 143s    
step 00944 (52.3%) | loss: 3.100949 | lrm: 0.55 | dt: 166ms | tok/sec: 787,553 | mfu: 45.3% | epoch: 1 | remaining: 143s    
step 00945 (52.3%) | loss: 3.100031 | lrm: 0.55 | dt: 167ms | tok/sec: 785,064 | mfu: 45.1% | epoch: 1 | remaining: 143s    
step 00946 (52.4%) | loss: 3.101705 | lrm: 0.55 | dt: 168ms | tok/sec: 780,009 | mfu: 44.8% | epoch: 1 | remaining: 143s    
step 00947 (52.5%) | loss: 3.096530 | lrm: 0.55 | dt: 201ms | tok/sec: 652,690 | mfu: 37.5% | epoch: 1 | remaining: 142s    
step 00948 (52.5%) | loss: 3.102169 | lrm: 0.55 | dt: 179ms | tok/sec: 731,472 | mfu: 42.0% | epoch: 1 | remaining: 142s    
step 00949 (52.6%) | loss: 3.108080 | lrm: 0.55 | dt: 167ms | tok/sec: 785,503 | mfu: 45.1% | epoch: 1 | remaining: 142s    
step 00950 (52.6%) | loss: 3.103348 | lrm: 0.55 | dt: 167ms | tok/sec: 782,664 | mfu: 45.0% | epoch: 1 | remaining: 142s    
step 00951 (52.7%) | loss: 3.097610 | lrm: 0.55 | dt: 166ms | tok/sec: 787,936 | mfu: 45.3% | epoch: 1 | remaining: 142s    
step 00952 (52.7%) | loss: 3.104275 | lrm: 0.55 | dt: 168ms | tok/sec: 782,094 | mfu: 44.9% | epoch: 1 | remaining: 142s    
step 00953 (52.8%) | loss: 3.100181 | lrm: 0.55 | dt: 168ms | tok/sec: 781,420 | mfu: 44.9% | epoch: 1 | remaining: 141s    
step 00954 (52.9%) | loss: 3.104690 | lrm: 0.55 | dt: 167ms | tok/sec: 786,616 | mfu: 45.2% | epoch: 1 | remaining: 141s    
step 00955 (52.9%) | loss: 3.102793 | lrm: 0.55 | dt: 167ms | tok/sec: 786,338 | mfu: 45.2% | epoch: 1 | remaining: 141s    
step 00956 (53.0%) | loss: 3.102705 | lrm: 0.55 | dt: 167ms | tok/sec: 784,530 | mfu: 45.1% | epoch: 1 | remaining: 141s    
step 00957 (53.0%) | loss: 3.109410 | lrm: 0.55 | dt: 169ms | tok/sec: 773,425 | mfu: 44.4% | epoch: 1 | remaining: 141s    
step 00958 (53.1%) | loss: 3.101918 | lrm: 0.55 | dt: 242ms | tok/sec: 540,571 | mfu: 31.1% | epoch: 1 | remaining: 141s    
step 00959 (53.2%) | loss: 3.104808 | lrm: 0.54 | dt: 165ms | tok/sec: 794,245 | mfu: 45.6% | epoch: 1 | remaining: 140s    
step 00960 (53.2%) | loss: 3.103553 | lrm: 0.54 | dt: 166ms | tok/sec: 787,932 | mfu: 45.3% | epoch: 1 | remaining: 140s    
step 00961 (53.3%) | loss: 3.095723 | lrm: 0.54 | dt: 167ms | tok/sec: 783,313 | mfu: 45.0% | epoch: 1 | remaining: 140s    
step 00962 (53.3%) | loss: 3.092507 | lrm: 0.54 | dt: 168ms | tok/sec: 780,602 | mfu: 44.9% | epoch: 1 | remaining: 140s    
step 00963 (53.4%) | loss: 3.087320 | lrm: 0.54 | dt: 196ms | tok/sec: 669,735 | mfu: 38.5% | epoch: 1 | remaining: 140s    
step 00964 (53.4%) | loss: 3.081735 | lrm: 0.54 | dt: 167ms | tok/sec: 784,013 | mfu: 45.1% | epoch: 1 | remaining: 139s    
step 00965 (53.5%) | loss: 3.074109 | lrm: 0.54 | dt: 167ms | tok/sec: 784,117 | mfu: 45.1% | epoch: 1 | remaining: 139s    
step 00966 (53.6%) | loss: 3.074094 | lrm: 0.54 | dt: 167ms | tok/sec: 783,900 | mfu: 45.1% | epoch: 1 | remaining: 139s    
step 00967 (53.6%) | loss: 3.078065 | lrm: 0.54 | dt: 182ms | tok/sec: 721,832 | mfu: 41.5% | epoch: 1 | remaining: 139s    
step 00968 (53.7%) | loss: 3.079705 | lrm: 0.54 | dt: 166ms | tok/sec: 789,976 | mfu: 45.4% | epoch: 1 | remaining: 139s    
step 00969 (53.7%) | loss: 3.076052 | lrm: 0.54 | dt: 168ms | tok/sec: 781,313 | mfu: 44.9% | epoch: 1 | remaining: 139s    
step 00970 (53.8%) | loss: 3.081195 | lrm: 0.54 | dt: 168ms | tok/sec: 780,976 | mfu: 44.9% | epoch: 1 | remaining: 138s    
step 00971 (53.8%) | loss: 3.082048 | lrm: 0.54 | dt: 166ms | tok/sec: 787,752 | mfu: 45.3% | epoch: 1 | remaining: 138s    
step 00972 (53.9%) | loss: 3.085141 | lrm: 0.54 | dt: 167ms | tok/sec: 785,199 | mfu: 45.1% | epoch: 1 | remaining: 138s    
step 00973 (54.0%) | loss: 3.089154 | lrm: 0.54 | dt: 168ms | tok/sec: 780,436 | mfu: 44.9% | epoch: 1 | remaining: 138s    
step 00974 (54.0%) | loss: 3.092681 | lrm: 0.54 | dt: 166ms | tok/sec: 788,139 | mfu: 45.3% | epoch: 1 | remaining: 138s    
step 00975 (54.1%) | loss: 3.089858 | lrm: 0.53 | dt: 168ms | tok/sec: 781,981 | mfu: 44.9% | epoch: 1 | remaining: 138s    
step 00976 (54.1%) | loss: 3.094479 | lrm: 0.53 | dt: 168ms | tok/sec: 780,364 | mfu: 44.8% | epoch: 1 | remaining: 137s    
step 00977 (54.2%) | loss: 3.095977 | lrm: 0.53 | dt: 167ms | tok/sec: 784,039 | mfu: 45.1% | epoch: 1 | remaining: 137s    
step 00978 (54.2%) | loss: 3.097204 | lrm: 0.53 | dt: 166ms | tok/sec: 789,171 | mfu: 45.4% | epoch: 1 | remaining: 137s    
step 00979 (54.3%) | loss: 3.095029 | lrm: 0.53 | dt: 167ms | tok/sec: 785,752 | mfu: 45.2% | epoch: 1 | remaining: 137s    
step 00980 (54.3%) | loss: 3.100741 | lrm: 0.53 | dt: 168ms | tok/sec: 782,455 | mfu: 45.0% | epoch: 1 | remaining: 137s    
step 00981 (54.4%) | loss: 3.096948 | lrm: 0.53 | dt: 168ms | tok/sec: 779,663 | mfu: 44.8% | epoch: 1 | remaining: 137s    
step 00982 (54.5%) | loss: 3.092687 | lrm: 0.53 | dt: 166ms | tok/sec: 788,634 | mfu: 45.3% | epoch: 1 | remaining: 136s    
step 00983 (54.5%) | loss: 3.083190 | lrm: 0.53 | dt: 168ms | tok/sec: 779,876 | mfu: 44.8% | epoch: 1 | remaining: 136s    
step 00984 (54.6%) | loss: 3.082986 | lrm: 0.53 | dt: 168ms | tok/sec: 782,382 | mfu: 45.0% | epoch: 1 | remaining: 136s    
step 00985 (54.6%) | loss: 3.077596 | lrm: 0.53 | dt: 168ms | tok/sec: 781,988 | mfu: 44.9% | epoch: 1 | remaining: 136s    
step 00986 (54.7%) | loss: 3.072129 | lrm: 0.53 | dt: 168ms | tok/sec: 780,977 | mfu: 44.9% | epoch: 1 | remaining: 136s    
step 00987 (54.7%) | loss: 3.072314 | lrm: 0.53 | dt: 169ms | tok/sec: 776,794 | mfu: 44.6% | epoch: 1 | remaining: 136s    
step 00988 (54.8%) | loss: 3.080361 | lrm: 0.53 | dt: 167ms | tok/sec: 783,154 | mfu: 45.0% | epoch: 1 | remaining: 135s    
step 00989 (54.8%) | loss: 3.081106 | lrm: 0.53 | dt: 167ms | tok/sec: 783,991 | mfu: 45.1% | epoch: 1 | remaining: 135s    
step 00990 (54.9%) | loss: 3.075114 | lrm: 0.53 | dt: 167ms | tok/sec: 782,677 | mfu: 45.0% | epoch: 1 | remaining: 135s    
step 00991 (55.0%) | loss: 3.065694 | lrm: 0.53 | dt: 168ms | tok/sec: 782,233 | mfu: 45.0% | epoch: 1 | remaining: 135s    
step 00992 (55.0%) | loss: 3.063811 | lrm: 0.52 | dt: 166ms | tok/sec: 787,849 | mfu: 45.3% | epoch: 1 | remaining: 135s    
step 00993 (55.1%) | loss: 3.065899 | lrm: 0.52 | dt: 168ms | tok/sec: 781,847 | mfu: 44.9% | epoch: 1 | remaining: 135s    
step 00994 (55.1%) | loss: 3.069142 | lrm: 0.52 | dt: 168ms | tok/sec: 781,458 | mfu: 44.9% | epoch: 1 | remaining: 134s    
step 00995 (55.2%) | loss: 3.071587 | lrm: 0.52 | dt: 186ms | tok/sec: 703,215 | mfu: 40.4% | epoch: 1 | remaining: 134s    
step 00996 (55.2%) | loss: 3.074252 | lrm: 0.52 | dt: 166ms | tok/sec: 789,674 | mfu: 45.4% | epoch: 1 | remaining: 134s    
step 00997 (55.3%) | loss: 3.077947 | lrm: 0.52 | dt: 167ms | tok/sec: 785,298 | mfu: 45.1% | epoch: 1 | remaining: 134s    
step 00998 (55.4%) | loss: 3.075987 | lrm: 0.52 | dt: 168ms | tok/sec: 781,521 | mfu: 44.9% | epoch: 1 | remaining: 134s    
step 00999 (55.4%) | loss: 3.080217 | lrm: 0.52 | dt: 167ms | tok/sec: 785,279 | mfu: 45.1% | epoch: 1 | remaining: 134s    
step 01000 (55.5%) | loss: 3.071294 | lrm: 0.52 | dt: 167ms | tok/sec: 787,037 | mfu: 45.2% | epoch: 1 | remaining: 133s    
step 01001 (55.5%) | loss: 3.069652 | lrm: 0.52 | dt: 168ms | tok/sec: 782,244 | mfu: 45.0% | epoch: 1 | remaining: 133s    
step 01002 (55.6%) | loss: 3.070334 | lrm: 0.52 | dt: 168ms | tok/sec: 778,140 | mfu: 44.7% | epoch: 1 | remaining: 133s    
step 01003 (55.6%) | loss: 3.072648 | lrm: 0.52 | dt: 167ms | tok/sec: 782,858 | mfu: 45.0% | epoch: 1 | remaining: 133s    
step 01004 (55.7%) | loss: 3.073424 | lrm: 0.52 | dt: 167ms | tok/sec: 786,966 | mfu: 45.2% | epoch: 1 | remaining: 133s    
step 01005 (55.7%) | loss: 3.070855 | lrm: 0.52 | dt: 169ms | tok/sec: 774,950 | mfu: 44.5% | epoch: 1 | remaining: 133s    
step 01006 (55.8%) | loss: 3.075160 | lrm: 0.52 | dt: 167ms | tok/sec: 783,715 | mfu: 45.0% | epoch: 1 | remaining: 132s    
step 01007 (55.9%) | loss: 3.078432 | lrm: 0.52 | dt: 167ms | tok/sec: 785,313 | mfu: 45.1% | epoch: 1 | remaining: 132s    
step 01008 (55.9%) | loss: 3.076699 | lrm: 0.52 | dt: 167ms | tok/sec: 786,424 | mfu: 45.2% | epoch: 1 | remaining: 132s    
step 01009 (56.0%) | loss: 3.076899 | lrm: 0.51 | dt: 167ms | tok/sec: 783,566 | mfu: 45.0% | epoch: 1 | remaining: 132s    
step 01010 (56.0%) | loss: 3.080096 | lrm: 0.51 | dt: 167ms | tok/sec: 783,914 | mfu: 45.1% | epoch: 1 | remaining: 132s    
step 01011 (56.1%) | loss: 3.082190 | lrm: 0.51 | dt: 167ms | tok/sec: 786,276 | mfu: 45.2% | epoch: 1 | remaining: 132s    
step 01012 (56.1%) | loss: 3.086505 | lrm: 0.51 | dt: 167ms | tok/sec: 782,984 | mfu: 45.0% | epoch: 1 | remaining: 131s    
step 01013 (56.2%) | loss: 3.078848 | lrm: 0.51 | dt: 168ms | tok/sec: 781,148 | mfu: 44.9% | epoch: 1 | remaining: 131s    
step 01014 (56.2%) | loss: 3.088267 | lrm: 0.51 | dt: 167ms | tok/sec: 782,658 | mfu: 45.0% | epoch: 1 | remaining: 131s    
step 01015 (56.3%) | loss: 3.085197 | lrm: 0.51 | dt: 166ms | tok/sec: 787,560 | mfu: 45.3% | epoch: 1 | remaining: 131s    
step 01016 (56.4%) | loss: 3.078656 | lrm: 0.51 | dt: 167ms | tok/sec: 784,999 | mfu: 45.1% | epoch: 1 | remaining: 131s    
step 01017 (56.4%) | loss: 3.066282 | lrm: 0.51 | dt: 168ms | tok/sec: 781,407 | mfu: 44.9% | epoch: 1 | remaining: 131s    
step 01018 (56.5%) | loss: 3.070341 | lrm: 0.51 | dt: 168ms | tok/sec: 778,661 | mfu: 44.8% | epoch: 1 | remaining: 130s    
step 01019 (56.5%) | loss: 3.077224 | lrm: 0.51 | dt: 167ms | tok/sec: 785,861 | mfu: 45.2% | epoch: 1 | remaining: 130s    
step 01020 (56.6%) | loss: 3.068446 | lrm: 0.51 | dt: 167ms | tok/sec: 784,163 | mfu: 45.1% | epoch: 1 | remaining: 130s    
step 01021 (56.6%) | loss: 3.070877 | lrm: 0.51 | dt: 168ms | tok/sec: 781,699 | mfu: 44.9% | epoch: 1 | remaining: 130s    
step 01022 (56.7%) | loss: 3.074129 | lrm: 0.51 | dt: 167ms | tok/sec: 782,933 | mfu: 45.0% | epoch: 1 | remaining: 130s    
step 01023 (56.7%) | loss: 3.072672 | lrm: 0.51 | dt: 194ms | tok/sec: 675,298 | mfu: 38.8% | epoch: 1 | remaining: 130s    
step 01024 (56.8%) | loss: 3.068537 | lrm: 0.51 | dt: 167ms | tok/sec: 784,691 | mfu: 45.1% | epoch: 1 | remaining: 129s    
step 01025 (56.9%) | loss: 3.071567 | lrm: 0.51 | dt: 168ms | tok/sec: 780,844 | mfu: 44.9% | epoch: 1 | remaining: 129s    
step 01026 (56.9%) | loss: 3.066674 | lrm: 0.50 | dt: 166ms | tok/sec: 787,587 | mfu: 45.3% | epoch: 1 | remaining: 129s    
step 01027 (57.0%) | loss: 3.065361 | lrm: 0.50 | dt: 167ms | tok/sec: 785,514 | mfu: 45.1% | epoch: 1 | remaining: 129s    
step 01028 (57.0%) | loss: 3.067429 | lrm: 0.50 | dt: 168ms | tok/sec: 779,987 | mfu: 44.8% | epoch: 1 | remaining: 129s    
step 01029 (57.1%) | loss: 3.058844 | lrm: 0.50 | dt: 168ms | tok/sec: 781,082 | mfu: 44.9% | epoch: 1 | remaining: 129s    
step 01030 (57.1%) | loss: 3.057675 | lrm: 0.50 | dt: 166ms | tok/sec: 790,999 | mfu: 45.5% | epoch: 1 | remaining: 128s    
step 01031 (57.2%) | loss: 3.066058 | lrm: 0.50 | dt: 168ms | tok/sec: 780,997 | mfu: 44.9% | epoch: 1 | remaining: 128s    
step 01032 (57.3%) | loss: 3.062458 | lrm: 0.50 | dt: 168ms | tok/sec: 778,181 | mfu: 44.7% | epoch: 1 | remaining: 128s    
step 01033 (57.3%) | loss: 3.066498 | lrm: 0.50 | dt: 167ms | tok/sec: 786,904 | mfu: 45.2% | epoch: 1 | remaining: 128s    
step 01034 (57.4%) | loss: 3.063941 | lrm: 0.50 | dt: 168ms | tok/sec: 782,009 | mfu: 44.9% | epoch: 1 | remaining: 128s    
step 01035 (57.4%) | loss: 3.057641 | lrm: 0.50 | dt: 168ms | tok/sec: 782,110 | mfu: 44.9% | epoch: 1 | remaining: 128s    
step 01036 (57.5%) | loss: 3.058330 | lrm: 0.50 | dt: 167ms | tok/sec: 783,703 | mfu: 45.0% | epoch: 1 | remaining: 127s    
step 01037 (57.5%) | loss: 3.063672 | lrm: 0.50 | dt: 167ms | tok/sec: 786,505 | mfu: 45.2% | epoch: 1 | remaining: 127s    
step 01038 (57.6%) | loss: 3.064551 | lrm: 0.50 | dt: 167ms | tok/sec: 785,457 | mfu: 45.1% | epoch: 1 | remaining: 127s    
step 01039 (57.7%) | loss: 3.065803 | lrm: 0.50 | dt: 168ms | tok/sec: 778,815 | mfu: 44.8% | epoch: 1 | remaining: 127s    
step 01040 (57.7%) | loss: 3.069510 | lrm: 0.50 | dt: 181ms | tok/sec: 726,154 | mfu: 41.7% | epoch: 1 | remaining: 127s    
step 01041 (57.8%) | loss: 3.067867 | lrm: 0.50 | dt: 166ms | tok/sec: 789,114 | mfu: 45.4% | epoch: 1 | remaining: 127s    
step 01042 (57.8%) | loss: 3.070959 | lrm: 0.50 | dt: 166ms | tok/sec: 788,259 | mfu: 45.3% | epoch: 1 | remaining: 126s    
step 01043 (57.9%) | loss: 3.067253 | lrm: 0.49 | dt: 167ms | tok/sec: 784,955 | mfu: 45.1% | epoch: 1 | remaining: 126s    
step 01044 (57.9%) | loss: 3.070270 | lrm: 0.49 | dt: 167ms | tok/sec: 783,380 | mfu: 45.0% | epoch: 1 | remaining: 126s    
step 01045 (58.0%) | loss: 3.065725 | lrm: 0.49 | dt: 168ms | tok/sec: 781,762 | mfu: 44.9% | epoch: 1 | remaining: 126s    
step 01046 (58.0%) | loss: 3.066955 | lrm: 0.49 | dt: 170ms | tok/sec: 772,472 | mfu: 44.4% | epoch: 1 | remaining: 126s    
step 01047 (58.1%) | loss: 3.062606 | lrm: 0.49 | dt: 168ms | tok/sec: 781,617 | mfu: 44.9% | epoch: 1 | remaining: 126s    
step 01048 (58.2%) | loss: 3.064618 | lrm: 0.49 | dt: 167ms | tok/sec: 784,224 | mfu: 45.1% | epoch: 1 | remaining: 125s    
step 01049 (58.2%) | loss: 3.068504 | lrm: 0.49 | dt: 167ms | tok/sec: 783,430 | mfu: 45.0% | epoch: 1 | remaining: 125s    
step 01050 (58.3%) | loss: 3.066445 | lrm: 0.49 | dt: 167ms | tok/sec: 782,793 | mfu: 45.0% | epoch: 1 | remaining: 125s    
step 01051 (58.3%) | loss: 3.070330 | lrm: 0.49 | dt: 168ms | tok/sec: 779,853 | mfu: 44.8% | epoch: 1 | remaining: 125s    
step 01052 (58.4%) | loss: 3.063758 | lrm: 0.49 | dt: 167ms | tok/sec: 783,564 | mfu: 45.0% | epoch: 1 | remaining: 125s    
step 01053 (58.4%) | loss: 3.063660 | lrm: 0.49 | dt: 166ms | tok/sec: 790,516 | mfu: 45.4% | epoch: 1 | remaining: 125s    
step 01054 (58.5%) | loss: 3.058461 | lrm: 0.49 | dt: 167ms | tok/sec: 784,232 | mfu: 45.1% | epoch: 1 | remaining: 124s    
step 01055 (58.5%) | loss: 3.064316 | lrm: 0.49 | dt: 184ms | tok/sec: 711,229 | mfu: 40.9% | epoch: 1 | remaining: 124s    
step 01056 (58.6%) | loss: 3.063824 | lrm: 0.49 | dt: 167ms | tok/sec: 786,011 | mfu: 45.2% | epoch: 1 | remaining: 124s    
step 01057 (58.7%) | loss: 3.059034 | lrm: 0.49 | dt: 167ms | tok/sec: 785,277 | mfu: 45.1% | epoch: 1 | remaining: 124s    
step 01058 (58.7%) | loss: 3.059001 | lrm: 0.49 | dt: 167ms | tok/sec: 784,882 | mfu: 45.1% | epoch: 1 | remaining: 124s    
step 01059 (58.8%) | loss: 3.062783 | lrm: 0.49 | dt: 167ms | tok/sec: 784,811 | mfu: 45.1% | epoch: 1 | remaining: 124s    
step 01060 (58.8%) | loss: 3.068172 | lrm: 0.48 | dt: 168ms | tok/sec: 779,885 | mfu: 44.8% | epoch: 1 | remaining: 123s    
step 01061 (58.9%) | loss: 3.058318 | lrm: 0.48 | dt: 168ms | tok/sec: 782,311 | mfu: 45.0% | epoch: 1 | remaining: 123s    
step 01062 (58.9%) | loss: 3.057976 | lrm: 0.48 | dt: 168ms | tok/sec: 781,421 | mfu: 44.9% | epoch: 1 | remaining: 123s    
step 01063 (59.0%) | loss: 3.058326 | lrm: 0.48 | dt: 168ms | tok/sec: 780,171 | mfu: 44.8% | epoch: 1 | remaining: 123s    
step 01064 (59.1%) | loss: 3.051400 | lrm: 0.48 | dt: 167ms | tok/sec: 784,322 | mfu: 45.1% | epoch: 1 | remaining: 123s    
step 01065 (59.1%) | loss: 3.059712 | lrm: 0.48 | dt: 178ms | tok/sec: 736,070 | mfu: 42.3% | epoch: 1 | remaining: 122s    
step 01066 (59.2%) | loss: 3.056996 | lrm: 0.48 | dt: 167ms | tok/sec: 785,025 | mfu: 45.1% | epoch: 1 | remaining: 122s    
step 01067 (59.2%) | loss: 3.053135 | lrm: 0.48 | dt: 167ms | tok/sec: 783,928 | mfu: 45.1% | epoch: 1 | remaining: 122s    
step 01068 (59.3%) | loss: 3.055123 | lrm: 0.48 | dt: 167ms | tok/sec: 782,929 | mfu: 45.0% | epoch: 1 | remaining: 122s    
step 01069 (59.3%) | loss: 3.050100 | lrm: 0.48 | dt: 167ms | tok/sec: 783,945 | mfu: 45.1% | epoch: 1 | remaining: 122s    
step 01070 (59.4%) | loss: 3.053569 | lrm: 0.48 | dt: 166ms | tok/sec: 788,051 | mfu: 45.3% | epoch: 1 | remaining: 122s    
step 01071 (59.4%) | loss: 3.047528 | lrm: 0.48 | dt: 167ms | tok/sec: 785,071 | mfu: 45.1% | epoch: 1 | remaining: 121s    
step 01072 (59.5%) | loss: 3.048439 | lrm: 0.48 | dt: 168ms | tok/sec: 778,345 | mfu: 44.7% | epoch: 1 | remaining: 121s    
step 01073 (59.6%) | loss: 3.039858 | lrm: 0.48 | dt: 168ms | tok/sec: 781,535 | mfu: 44.9% | epoch: 1 | remaining: 121s    
step 01074 (59.6%) | loss: 3.037296 | lrm: 0.48 | dt: 167ms | tok/sec: 784,649 | mfu: 45.1% | epoch: 1 | remaining: 121s    
step 01075 (59.7%) | loss: 3.044221 | lrm: 0.48 | dt: 181ms | tok/sec: 724,497 | mfu: 41.6% | epoch: 1 | remaining: 121s    
step 01076 (59.7%) | loss: 3.048062 | lrm: 0.48 | dt: 167ms | tok/sec: 786,534 | mfu: 45.2% | epoch: 1 | remaining: 121s    
step 01077 (59.8%) | loss: 3.050245 | lrm: 0.47 | dt: 167ms | tok/sec: 782,835 | mfu: 45.0% | epoch: 1 | remaining: 120s    
step 01078 (59.8%) | loss: 3.051100 | lrm: 0.47 | dt: 166ms | tok/sec: 788,527 | mfu: 45.3% | epoch: 1 | remaining: 120s    
step 01079 (59.9%) | loss: 3.045218 | lrm: 0.47 | dt: 167ms | tok/sec: 784,402 | mfu: 45.1% | epoch: 1 | remaining: 120s    
step 01080 (60.0%) | loss: 3.048564 | lrm: 0.47 | dt: 168ms | tok/sec: 778,683 | mfu: 44.8% | epoch: 1 | remaining: 120s    
step 01081 (60.0%) | loss: 3.048772 | lrm: 0.47 | dt: 167ms | tok/sec: 785,272 | mfu: 45.1% | epoch: 1 | remaining: 120s    
step 01082 (60.1%) | loss: 3.049404 | lrm: 0.47 | dt: 167ms | tok/sec: 786,763 | mfu: 45.2% | epoch: 1 | remaining: 120s    
step 01083 (60.1%) | loss: 3.052244 | lrm: 0.47 | dt: 167ms | tok/sec: 784,019 | mfu: 45.1% | epoch: 1 | remaining: 119s    
step 01084 (60.2%) | loss: 3.050726 | lrm: 0.47 | dt: 168ms | tok/sec: 782,439 | mfu: 45.0% | epoch: 1 | remaining: 119s    
step 01085 (60.2%) | loss: 3.046055 | lrm: 0.47 | dt: 167ms | tok/sec: 785,484 | mfu: 45.1% | epoch: 1 | remaining: 119s    
step 01086 (60.3%) | loss: 3.049501 | lrm: 0.47 | dt: 167ms | tok/sec: 785,876 | mfu: 45.2% | epoch: 1 | remaining: 119s    
step 01087 (60.3%) | loss: 3.049519 | lrm: 0.47 | dt: 168ms | tok/sec: 780,711 | mfu: 44.9% | epoch: 1 | remaining: 119s    
step 01088 (60.4%) | loss: 3.049064 | lrm: 0.47 | dt: 167ms | tok/sec: 785,970 | mfu: 45.2% | epoch: 1 | remaining: 119s    
step 01089 (60.5%) | loss: 3.054410 | lrm: 0.47 | dt: 168ms | tok/sec: 782,099 | mfu: 44.9% | epoch: 1 | remaining: 118s    
step 01090 (60.5%) | loss: 3.056970 | lrm: 0.47 | dt: 168ms | tok/sec: 780,970 | mfu: 44.9% | epoch: 1 | remaining: 118s    
step 01091 (60.6%) | loss: 3.058562 | lrm: 0.47 | dt: 168ms | tok/sec: 782,299 | mfu: 45.0% | epoch: 1 | remaining: 118s    
step 01092 (60.6%) | loss: 3.056371 | lrm: 0.47 | dt: 167ms | tok/sec: 786,756 | mfu: 45.2% | epoch: 1 | remaining: 118s    
step 01093 (60.7%) | loss: 3.057601 | lrm: 0.47 | dt: 167ms | tok/sec: 783,574 | mfu: 45.0% | epoch: 1 | remaining: 118s    
